k_s_per_km,kPk_pi_p1_1,kPk_pi_p2_1,kPk_pi_p7_1,kPk_pi_p8_1,kPk_pi_p9_1
2.409500e+00,3.067955e-11,6.718804e-11,7.802024e-11,9.316255e-11,4.559451e-11
2.409926e+00,3.071180e-11,6.628707e-11,7.764550e-11,9.388417e-11,4.453607e-11
2.410353e+00,3.087664e-11,6.526087e-11,7.705850e-11,9.450408e-11,4.345813e-11
2.410779e+00,3.116914e-11,6.415377e-11,7.626723e-11,9.500320e-11,4.235076e-11
2.411205e+00,3.158099e-11,6.299521e-11,7.527505e-11,9.537384e-11,4.122742e-11
2.411632e+00,3.210285e-11,6.180591e-11,7.408677e-11,9.560960e-11,4.012453e-11
2.412058e+00,3.272508e-11,6.060565e-11,7.272183e-11,9.570375e-11,3.908208e-11
2.412485e+00,3.343729e-11,5.939243e-11,7.119047e-11,9.564938e-11,3.810343e-11
2.412911e+00,3.422840e-11,5.817675e-11,6.952955e-11,9.543899e-11,3.718068e-11
2.413337e+00,3.508623e-11,5.695681e-11,6.776438e-11,9.506545e-11,3.628823e-11
2.413764e+00,3.599878e-11,5.573076e-11,6.591717e-11,9.451798e-11,3.541256e-11
2.414190e+00,3.695574e-11,5.450759e-11,6.401979e-11,9.378609e-11,3.456567e-11
2.414616e+00,3.794944e-11,5.329056e-11,6.208876e-11,9.285077e-11,3.376336e-11
2.415043e+00,3.897577e-11,5.208661e-11,6.014276e-11,9.168498e-11,3.301541e-11
2.415469e+00,4.003216e-11,5.091710e-11,5.822101e-11,9.026380e-11,3.232310e-11
2.415896e+00,4.111436e-11,4.979412e-11,5.634781e-11,8.857377e-11,3.167045e-11
2.416322e+00,4.221227e-11,4.874317e-11,5.456574e-11,8.662866e-11,3.105775e-11
2.416748e+00,4.330764e-11,4.778103e-11,5.289851e-11,8.446018e-11,3.049759e-11
2.417175e+00,4.437407e-11,4.692072e-11,5.136294e-11,8.212856e-11,3.001465e-11
2.417601e+00,4.537667e-11,4.617378e-11,4.997940e-11,7.973592e-11,2.963785e-11
2.418028e+00,4.627685e-11,4.553483e-11,4.874865e-11,7.737399e-11,2.938408e-11
2.418454e+00,4.703605e-11,4.499570e-11,4.768216e-11,7.514861e-11,2.926484e-11
2.418880e+00,4.761644e-11,4.453524e-11,4.678216e-11,7.312311e-11,2.928580e-11
2.419307e+00,4.798491e-11,4.412821e-11,4.605152e-11,7.132548e-11,2.945465e-11
2.419733e+00,4.811301e-11,4.375065e-11,4.549534e-11,6.975700e-11,2.977691e-11
2.420159e+00,4.797784e-11,4.337833e-11,4.510850e-11,6.837561e-11,3.025353e-11
2.420586e+00,4.756576e-11,4.299352e-11,4.488204e-11,6.712889e-11,3.087923e-11
2.421012e+00,4.687499e-11,4.259086e-11,4.480439e-11,6.598223e-11,3.163818e-11
2.421439e+00,4.591920e-11,4.217228e-11,4.486020e-11,6.491139e-11,3.252280e-11
2.421865e+00,4.472888e-11,4.175653e-11,4.503471e-11,6.393410e-11,3.351926e-11
2.422291e+00,4.335068e-11,4.137274e-11,4.531395e-11,6.309097e-11,3.461089e-11
2.422718e+00,4.184360e-11,4.105886e-11,4.568448e-11,6.243461e-11,3.576836e-11
2.423144e+00,4.027253e-11,4.085862e-11,4.612777e-11,6.201235e-11,3.693775e-11
2.423571e+00,3.870146e-11,4.081065e-11,4.662812e-11,6.183913e-11,3.807160e-11
2.423997e+00,3.718812e-11,4.094464e-11,4.716523e-11,6.189488e-11,3.912847e-11
2.424423e+00,3.578094e-11,4.127503e-11,4.772179e-11,6.212205e-11,4.010422e-11
2.424850e+00,3.451869e-11,4.180003e-11,4.828208e-11,6.244028e-11,4.101542e-11
2.425276e+00,3.343202e-11,4.249498e-11,4.882872e-11,6.276363e-11,4.186604e-11
2.425702e+00,3.254446e-11,4.332345e-11,4.934852e-11,6.302586e-11,4.263102e-11
2.426129e+00,3.187272e-11,4.423960e-11,4.982840e-11,6.319207e-11,4.324141e-11
2.426555e+00,3.142567e-11,4.518492e-11,5.025106e-11,6.326232e-11,4.360828e-11
2.426982e+00,3.120278e-11,4.610778e-11,5.060714e-11,6.327181e-11,4.370214e-11
2.427408e+00,3.119304e-11,4.695907e-11,5.088806e-11,6.326533e-11,4.357853e-11
2.427834e+00,3.137474e-11,4.770921e-11,5.109082e-11,6.327824e-11,4.334929e-11
2.428261e+00,3.171754e-11,4.834264e-11,5.121571e-11,6.332589e-11,4.311695e-11
2.428687e+00,3.218656e-11,4.885550e-11,5.126313e-11,6.340059e-11,4.291570e-11
2.429114e+00,3.274549e-11,4.926427e-11,5.123542e-11,6.347896e-11,4.269281e-11
2.429540e+00,3.335984e-11,4.959030e-11,5.113628e-11,6.353306e-11,4.236051e-11
2.429966e+00,3.399979e-11,4.986127e-11,5.097106e-11,6.354539e-11,4.187239e-11
2.430393e+00,3.464165e-11,5.010199e-11,5.074748e-11,6.351784e-11,4.127962e-11
2.430819e+00,3.526926e-11,5.032885e-11,5.047937e-11,6.347396e-11,4.072507e-11
2.431245e+00,3.587609e-11,5.055138e-11,5.018153e-11,6.345335e-11,4.035465e-11
2.431672e+00,3.646773e-11,5.076911e-11,4.987066e-11,6.350165e-11,4.023548e-11
2.432098e+00,3.706108e-11,5.097260e-11,4.956730e-11,6.365631e-11,4.030989e-11
2.432525e+00,3.768310e-11,5.115109e-11,4.928928e-11,6.393768e-11,4.043139e-11
2.432951e+00,3.836647e-11,5.129163e-11,4.905749e-11,6.434175e-11,4.046416e-11
2.433377e+00,3.914144e-11,5.138503e-11,4.889212e-11,6.484622e-11,4.037839e-11
2.433804e+00,4.002936e-11,5.142742e-11,4.881514e-11,6.541734e-11,4.027053e-11
2.434230e+00,4.103530e-11,5.142235e-11,4.884760e-11,6.601460e-11,4.029546e-11
2.434657e+00,4.214494e-11,5.138131e-11,4.900690e-11,6.660827e-11,4.054979e-11
2.435083e+00,4.332636e-11,5.132278e-11,4.930444e-11,6.717349e-11,4.098690e-11
2.435509e+00,4.453269e-11,5.126873e-11,4.974760e-11,6.770106e-11,4.143252e-11
2.435936e+00,4.570970e-11,5.124155e-11,5.034015e-11,6.819070e-11,4.168655e-11
2.436362e+00,4.680182e-11,5.125962e-11,5.107811e-11,6.864298e-11,4.165260e-11
