k_s_per_km,kPk_pi_Ω_m__0.30,kPk_pi_Ω_m__0.40,kPk_pi_Ω_m__0.50,kPk_pi_Ω_m__0.20,kPk_pi_Ω_m__0.10
4.342790e-01,1.181382e-02,2.068614e-03,4.566411e-03,6.946839e-03,2.169105e-02
4.361429e-01,1.151876e-02,2.011608e-03,4.515430e-03,6.818361e-03,2.076352e-02
4.380068e-01,1.112911e-02,1.932139e-03,4.276055e-03,6.711771e-03,1.984884e-02
4.398706e-01,1.095686e-02,1.857623e-03,4.113355e-03,6.505273e-03,1.895477e-02
4.417345e-01,1.082486e-02,1.796614e-03,3.945085e-03,6.223235e-03,1.807734e-02
4.435983e-01,1.037267e-02,1.721905e-03,3.846662e-03,5.992267e-03,1.717344e-02
4.454622e-01,1.029453e-02,1.677306e-03,3.792880e-03,5.827037e-03,1.629605e-02
4.473261e-01,9.725377e-03,1.614634e-03,3.658365e-03,5.642052e-03,1.561252e-02
4.491899e-01,9.767322e-03,1.567819e-03,3.527257e-03,5.380406e-03,1.486926e-02
4.510538e-01,9.602021e-03,1.518387e-03,3.431829e-03,5.085830e-03,1.404776e-02
4.529176e-01,9.202686e-03,1.437561e-03,3.341725e-03,4.839547e-03,1.344721e-02
4.547815e-01,9.035690e-03,1.401564e-03,3.107811e-03,4.740573e-03,1.292956e-02
4.566454e-01,8.966639e-03,1.359921e-03,3.130004e-03,4.558326e-03,1.241357e-02
4.585092e-01,8.456914e-03,1.304086e-03,3.017740e-03,4.375104e-03,1.196868e-02
4.603731e-01,8.332151e-03,1.254268e-03,2.925222e-03,4.189993e-03,1.167847e-02
4.622369e-01,8.221358e-03,1.223127e-03,2.852464e-03,4.008554e-03,1.120464e-02
4.641008e-01,7.972996e-03,1.163367e-03,2.718909e-03,3.836755e-03,1.061274e-02
4.659646e-01,7.697397e-03,1.135916e-03,2.635540e-03,3.650364e-03,1.022680e-02
4.678285e-01,7.591597e-03,1.083482e-03,2.576437e-03,3.517779e-03,9.890272e-03
4.696924e-01,7.529368e-03,1.050838e-03,2.513579e-03,3.403397e-03,9.665079e-03
4.715562e-01,7.295434e-03,1.019648e-03,2.433314e-03,3.249876e-03,9.380955e-03
4.734201e-01,7.082555e-03,9.871350e-04,2.341241e-03,3.060206e-03,9.035522e-03
4.752839e-01,6.930616e-03,9.414179e-04,2.263837e-03,2.942150e-03,8.725078e-03
4.771478e-01,6.646786e-03,9.085296e-04,2.206913e-03,2.844527e-03,8.427081e-03
4.790117e-01,6.679818e-03,8.726719e-04,2.156288e-03,2.722449e-03,8.162608e-03
4.808755e-01,6.377403e-03,8.448603e-04,2.109531e-03,2.617022e-03,7.902283e-03
4.827394e-01,6.322911e-03,8.072510e-04,2.042721e-03,2.506329e-03,7.648929e-03
4.846032e-01,6.205547e-03,7.728424e-04,2.005263e-03,2.357694e-03,7.435006e-03
4.864671e-01,5.929973e-03,7.496766e-04,1.919492e-03,2.263808e-03,7.240868e-03
4.883309e-01,5.890790e-03,7.129109e-04,1.877605e-03,2.151283e-03,7.108972e-03
4.901948e-01,5.677626e-03,6.837661e-04,1.804855e-03,2.065258e-03,6.958215e-03
4.920587e-01,5.614136e-03,6.655560e-04,1.746481e-03,1.971771e-03,6.744154e-03
4.939225e-01,5.366375e-03,6.347206e-04,1.726744e-03,1.868790e-03,6.547767e-03
4.957864e-01,5.248103e-03,6.120337e-04,1.674812e-03,1.811035e-03,6.365984e-03
4.976502e-01,5.183659e-03,5.954078e-04,1.648048e-03,1.682997e-03,6.240208e-03
4.995141e-01,4.963749e-03,5.772745e-04,1.538270e-03,1.596158e-03,6.131056e-03
5.013780e-01,4.956668e-03,5.424125e-04,1.502918e-03,1.531470e-03,6.060679e-03
5.032418e-01,4.714542e-03,5.329978e-04,1.474741e-03,1.471841e-03,5.952965e-03
5.051057e-01,4.466556e-03,5.127726e-04,1.435114e-03,1.406827e-03,5.795498e-03
5.069695e-01,4.411794e-03,4.895333e-04,1.400504e-03,1.347234e-03,5.680337e-03
5.088334e-01,4.402258e-03,4.681960e-04,1.357586e-03,1.283773e-03,5.581535e-03
5.106973e-01,4.263718e-03,4.558143e-04,1.320071e-03,1.230837e-03,5.490599e-03
5.125611e-01,4.096145e-03,4.327826e-04,1.277539e-03,1.182591e-03,5.399541e-03
5.144250e-01,3.963836e-03,4.219136e-04,1.215813e-03,1.136745e-03,5.308197e-03
5.162888e-01,3.891423e-03,4.029375e-04,1.208529e-03,1.096848e-03,5.189960e-03
