k_s_per_km,kPk_pi_0,kPk_pi_1,kPk_pi_2,kPk_pi_n1,kPk_pi_n2
5.050729e-02,1.412220e-07,1.223782e-07,9.362750e-08,1.581426e-07,1.668693e-07
5.095033e-02,1.347114e-07,1.139038e-07,8.734168e-08,1.463520e-07,1.529355e-07
5.139338e-02,1.248521e-07,1.057032e-07,8.484922e-08,1.333282e-07,1.443266e-07
5.183643e-02,1.168033e-07,9.724089e-08,7.941165e-08,1.235340e-07,1.317080e-07
5.227947e-02,1.098550e-07,9.134674e-08,7.559989e-08,1.143427e-07,1.250182e-07
5.272252e-02,1.008957e-07,8.604919e-08,7.151576e-08,1.102841e-07,1.163943e-07
5.316557e-02,9.351151e-08,8.152698e-08,6.778095e-08,1.010712e-07,1.092483e-07
5.360861e-02,8.686688e-08,7.724248e-08,6.356853e-08,9.814707e-08,1.025052e-07
5.405166e-02,7.747619e-08,7.361745e-08,6.049103e-08,9.355680e-08,9.610210e-08
5.449471e-02,7.187612e-08,7.064833e-08,5.670452e-08,9.081758e-08,8.903136e-08
5.493775e-02,6.690602e-08,6.750686e-08,5.397505e-08,8.562627e-08,8.275390e-08
5.538080e-02,6.053453e-08,6.598968e-08,5.077632e-08,8.318626e-08,7.754282e-08
5.582384e-02,5.856593e-08,6.339216e-08,4.824288e-08,7.823864e-08,7.519339e-08
5.626689e-02,5.361268e-08,6.065779e-08,4.585753e-08,7.313669e-08,7.068477e-08
5.670994e-02,5.079488e-08,5.824084e-08,4.338030e-08,6.913035e-08,6.841620e-08
5.715298e-02,4.843428e-08,5.518086e-08,4.036007e-08,6.543446e-08,6.493952e-08
5.759603e-02,4.620459e-08,5.161281e-08,3.869829e-08,6.063742e-08,6.108229e-08
5.803908e-02,4.454345e-08,4.885113e-08,3.616060e-08,5.699299e-08,5.601167e-08
5.848212e-02,4.333515e-08,4.555035e-08,3.453303e-08,5.389964e-08,5.271153e-08
5.892517e-02,4.072250e-08,4.255318e-08,3.283306e-08,4.997369e-08,4.975724e-08
5.936822e-02,3.873606e-08,4.002940e-08,3.190509e-08,4.785268e-08,4.704049e-08
5.981126e-02,3.789738e-08,3.686759e-08,2.977852e-08,4.449998e-08,4.370868e-08
6.025431e-02,3.569466e-08,3.479911e-08,2.879388e-08,4.179132e-08,4.159437e-08
6.069736e-02,3.396630e-08,3.317191e-08,2.756039e-08,4.007747e-08,3.914881e-08
6.114040e-02,3.193986e-08,3.175969e-08,2.663673e-08,3.775571e-08,3.751337e-08
6.158345e-02,3.056370e-08,3.074663e-08,2.587448e-08,3.635914e-08,3.502673e-08
6.202649e-02,2.824824e-08,3.015016e-08,2.468200e-08,3.506789e-08,3.266991e-08
6.246954e-02,2.635884e-08,2.954872e-08,2.371225e-08,3.371810e-08,3.115377e-08
6.291259e-02,2.484865e-08,2.898382e-08,2.258166e-08,3.303570e-08,2.998666e-08
6.335563e-02,2.315420e-08,2.805397e-08,2.219122e-08,3.211133e-08,2.859157e-08
6.379868e-02,2.160446e-08,2.728541e-08,2.069721e-08,3.142052e-08,2.733775e-08
6.424173e-02,2.045336e-08,2.588130e-08,1.995052e-08,2.921061e-08,2.554883e-08
6.468477e-02,1.943025e-08,2.439589e-08,1.844486e-08,2.891298e-08,2.512627e-08
6.512782e-02,1.865052e-08,2.295914e-08,1.750887e-08,2.720347e-08,2.423944e-08
6.557087e-02,1.778943e-08,2.168085e-08,1.648724e-08,2.568743e-08,2.278405e-08
6.601391e-02,1.731676e-08,2.047376e-08,1.533654e-08,2.386139e-08,2.165157e-08
6.645696e-02,1.654189e-08,1.921184e-08,1.498933e-08,2.259555e-08,2.048697e-08
6.690000e-02,1.621828e-08,1.807010e-08,1.434192e-08,2.112313e-08,1.967764e-08
6.734305e-02,1.572739e-08,1.745326e-08,1.405101e-08,2.019651e-08,1.917364e-08
6.778610e-02,1.523508e-08,1.674010e-08,1.387837e-08,1.900631e-08,1.867712e-08
6.822914e-02,1.473365e-08,1.635160e-08,1.341196e-08,1.808273e-08,1.783466e-08
6.867219e-02,1.408924e-08,1.585931e-08,1.306282e-08,1.745270e-08,1.696849e-08
6.911524e-02,1.331802e-08,1.570238e-08,1.240571e-08,1.692289e-08,1.615766e-08
6.955828e-02,1.262047e-08,1.533097e-08,1.172454e-08,1.616048e-08,1.486861e-08
7.000133e-02,1.197517e-08,1.484767e-08,1.120110e-08,1.584588e-08,1.422657e-08
7.044438e-02,1.132275e-08,1.416084e-08,1.039534e-08,1.527580e-08,1.308921e-08
7.088742e-02,1.061197e-08,1.361573e-08,9.902661e-09,1.479282e-08,1.212147e-08
7.133047e-02,1.003175e-08,1.293721e-08,9.325793e-09,1.400261e-08,1.144288e-08
7.177351e-02,9.377114e-09,1.234751e-08,9.077287e-09,1.350458e-08,1.066995e-08
7.221656e-02,8.969655e-09,1.165807e-08,8.749879e-09,1.283384e-08,1.008678e-08
7.265961e-02,8.649497e-09,1.108407e-08,8.602219e-09,1.207858e-08,9.851219e-09
7.310265e-02,8.270080e-09,1.043831e-08,8.370226e-09,1.165448e-08,9.518448e-09
7.354570e-02,8.056773e-09,9.859777e-09,8.032471e-09,1.101555e-08,9.465236e-09
7.398875e-02,7.860647e-09,9.508429e-09,7.667929e-09,1.060653e-08,9.156711e-09
7.443179e-02,7.609095e-09,9.167546e-09,7.451162e-09,1.020851e-08,8.929310e-09
7.487484e-02,7.451766e-09,8.911731e-09,7.190747e-09,9.774509e-09,8.764076e-09
7.531789e-02,7.250433e-09,8.538490e-09,6.870666e-09,9.427870e-09,8.565812e-09
7.576093e-02,7.006371e-09,8.404826e-09,6.700553e-09,9.294383e-09,8.376527e-09
7.620398e-02,6.782299e-09,8.147150e-09,6.449279e-09,8.855609e-09,8.108325e-09
7.664702e-02,6.568047e-09,7.927098e-09,6.346467e-09,8.504692e-09,7.750694e-09
7.709007e-02,6.325503e-09,7.586053e-09,6.136122e-09,8.084447e-09,7.528419e-09
7.753312e-02,6.000761e-09,7.304100e-09,5.911411e-09,7.637418e-09,7.163597e-09
7.797616e-02,5.734585e-09,6.959103e-09,5.553526e-09,7.187472e-09,6.656138e-09
7.841921e-02,5.433246e-09,6.750156e-09,5.273569e-09,6.840158e-09,6.152770e-09
7.886226e-02,5.136863e-09,6.470433e-09,4.877430e-09,6.584324e-09,5.670829e-09
7.930530e-02,4.866054e-09,6.245582e-09,4.574207e-09,6.256543e-09,5.236330e-09
7.974835e-02,4.616767e-09,6.017760e-09,4.428547e-09,6.102847e-09,4.830135e-09
8.019140e-02,4.370702e-09,5.820802e-09,4.253225e-09,5.879578e-09,4.445153e-09
8.063444e-02,4.190121e-09,5.652707e-09,4.185465e-09,5.730351e-09,4.264400e-09
8.107749e-02,4.000581e-09,5.477239e-09,4.117369e-09,5.667102e-09,4.134969e-09
8.152054e-02,3.849768e-09,5.246257e-09,4.052709e-09,5.447049e-09,3.984528e-09
8.196358e-02,3.710682e-09,5.069473e-09,3.934282e-09,5.293319e-09,3.908367e-09
8.240663e-02,3.598253e-09,4.907421e-09,3.782564e-09,5.029885e-09,3.781237e-09
8.284967e-02,3.499194e-09,4.688604e-09,3.585300e-09,4.818486e-09,3.771101e-09
8.329272e-02,3.417144e-09,4.457735e-09,3.381492e-09,4.553969e-09,3.775680e-09
8.373577e-02,3.347485e-09,4.247495e-09,3.189246e-09,4.309899e-09,3.812364e-09
8.417881e-02,3.276934e-09,4.054528e-09,3.099331e-09,4.082926e-09,3.797750e-09
8.462186e-02,3.191471e-09,3.854861e-09,3.015762e-09,3.926171e-09,3.729738e-09
8.506491e-02,3.103696e-09,3.701943e-09,2.965917e-09,3.837374e-09,3.662305e-09
8.550795e-02,2.996008e-09,3.540107e-09,2.946346e-09,3.687964e-09,3.520540e-09
8.595100e-02,2.903356e-09,3.404424e-09,2.924374e-09,3.598695e-09,3.301245e-09
8.639405e-02,2.793323e-09,3.361646e-09,2.859500e-09,3.541279e-09,3.066174e-09
8.683709e-02,2.689497e-09,3.258347e-09,2.753154e-09,3.410268e-09,2.847095e-09
