k_s_per_km,kPk_pi_p1_n2,kPk_pi_p2_n2,kPk_pi_p7_n2,kPk_pi_p8_n2,kPk_pi_p9_n2
3.290185e+00,2.287347e-17,1.369206e-10,2.835944e-11,3.687924e-11,7.673914e-11
3.290668e+00,2.282592e-17,1.369634e-10,2.982921e-11,3.707121e-11,7.608042e-11
3.291151e+00,2.243044e-17,1.371970e-10,3.133275e-11,3.728634e-11,7.532100e-11
3.291634e+00,2.288374e-17,1.376601e-10,3.282272e-11,3.755189e-11,7.447224e-11
3.292117e+00,2.284765e-17,1.383926e-10,3.425368e-11,3.789347e-11,7.354677e-11
3.292600e+00,2.271038e-17,1.394193e-10,3.558179e-11,3.832876e-11,7.255957e-11
3.293083e+00,2.258599e-17,1.407274e-10,3.676600e-11,3.886240e-11,7.152632e-11
3.293566e+00,2.259388e-17,1.422685e-10,3.777053e-11,3.948075e-11,7.046270e-11
3.294049e+00,2.264464e-17,1.439951e-10,3.856572e-11,4.015007e-11,6.938445e-11
3.294532e+00,2.274279e-17,1.459026e-10,3.911132e-11,4.081468e-11,6.830562e-11
3.295015e+00,2.215988e-17,1.479763e-10,3.941099e-11,4.140649e-11,6.723825e-11
3.295498e+00,2.250638e-17,1.501937e-10,3.946196e-11,4.186229e-11,6.619278e-11
3.295981e+00,2.221433e-17,1.525024e-10,3.927072e-11,4.213185e-11,6.517898e-11
3.296464e+00,2.227755e-17,1.548285e-10,3.885263e-11,4.218910e-11,6.420730e-11
3.296947e+00,2.250605e-17,1.570895e-10,3.823150e-11,4.204122e-11,6.328818e-11
3.297430e+00,2.225466e-17,1.592299e-10,3.743920e-11,4.173093e-11,6.243077e-11
3.297913e+00,2.228806e-17,1.612654e-10,3.651431e-11,4.133228e-11,6.164323e-11
3.298396e+00,2.210929e-17,1.632660e-10,3.550021e-11,4.093925e-11,6.093238e-11
3.298879e+00,2.190959e-17,1.652401e-10,3.444393e-11,4.064872e-11,6.030123e-11
3.299362e+00,2.220228e-17,1.670314e-10,3.339421e-11,4.054218e-11,5.974858e-11
3.299845e+00,2.179222e-17,1.683469e-10,3.240515e-11,4.068381e-11,5.927585e-11
3.300328e+00,2.212982e-17,1.691094e-10,3.152110e-11,4.105491e-11,5.887299e-11
3.300811e+00,2.180589e-17,1.694813e-10,3.077632e-11,4.160138e-11,5.853115e-11
3.301294e+00,2.229473e-17,1.696643e-10,3.020288e-11,4.222998e-11,5.824440e-11
3.301777e+00,2.252947e-17,1.696585e-10,2.982198e-11,4.282676e-11,5.800701e-11
3.302260e+00,2.228281e-17,1.692478e-10,2.964476e-11,4.327728e-11,5.781537e-11
3.302743e+00,2.218215e-17,1.682510e-10,2.967313e-11,4.348784e-11,5.766588e-11
3.303226e+00,2.188294e-17,1.667523e-10,2.989932e-11,4.340212e-11,5.755537e-11
3.303709e+00,2.200549e-17,1.650357e-10,3.030614e-11,4.300983e-11,5.748077e-11
3.304192e+00,2.259657e-17,1.632952e-10,3.086929e-11,4.234583e-11,5.743855e-11
3.304675e+00,2.213493e-17,1.614804e-10,3.155850e-11,4.148006e-11,5.742565e-11
3.305158e+00,2.237361e-17,1.594488e-10,3.234181e-11,4.050027e-11,5.744140e-11
