k_s_per_km,kPk_pi_0,kPk_pi_1,kPk_pi_2,kPk_pi_n1,kPk_pi_n2
1.129768e-01,3.287260e-10,5.699735e-10,4.061064e-10,4.046856e-10,3.667220e-10
1.134199e-01,3.151496e-10,5.539497e-10,4.079274e-10,4.005455e-10,3.551350e-10
1.138629e-01,3.036233e-10,5.388099e-10,3.962638e-10,4.068499e-10,3.439489e-10
1.143060e-01,2.928795e-10,5.322144e-10,3.748137e-10,4.134684e-10,3.322139e-10
1.147490e-01,2.842174e-10,5.213330e-10,3.499615e-10,4.251026e-10,3.204855e-10
1.151921e-01,2.765295e-10,5.111676e-10,3.284334e-10,4.312113e-10,3.103742e-10
1.156351e-01,2.698910e-10,4.966049e-10,3.144568e-10,4.319973e-10,3.002238e-10
1.160782e-01,2.637144e-10,4.764952e-10,3.073297e-10,4.238242e-10,2.903937e-10
1.165212e-01,2.571589e-10,4.538533e-10,3.011287e-10,4.047697e-10,2.804181e-10
1.169642e-01,2.510569e-10,4.302886e-10,2.949571e-10,3.804041e-10,2.719560e-10
1.174073e-01,2.440190e-10,4.055734e-10,2.891731e-10,3.521582e-10,2.637564e-10
1.178503e-01,2.372972e-10,3.863140e-10,2.838876e-10,3.197444e-10,2.555244e-10
1.182934e-01,2.296320e-10,3.711185e-10,2.761361e-10,2.900230e-10,2.468784e-10
1.187364e-01,2.225011e-10,3.612875e-10,2.645096e-10,2.662903e-10,2.389589e-10
1.191795e-01,2.140916e-10,3.560786e-10,2.469040e-10,2.478414e-10,2.316257e-10
1.196225e-01,2.066252e-10,3.539119e-10,2.267838e-10,2.386882e-10,2.243483e-10
1.200656e-01,1.983486e-10,3.505132e-10,2.117569e-10,2.331663e-10,2.169076e-10
1.205086e-01,1.915153e-10,3.485274e-10,2.047717e-10,2.386847e-10,2.101267e-10
1.209517e-01,1.843903e-10,3.420163e-10,2.040507e-10,2.435511e-10,2.036818e-10
1.213947e-01,1.788514e-10,3.354822e-10,2.063722e-10,2.531854e-10,1.977268e-10
1.218378e-01,1.731319e-10,3.256464e-10,2.086251e-10,2.598728e-10,1.913894e-10
1.222808e-01,1.685107e-10,3.154274e-10,2.076829e-10,2.656973e-10,1.859825e-10
1.227238e-01,1.635493e-10,3.068862e-10,2.036380e-10,2.664476e-10,1.800924e-10
1.231669e-01,1.591492e-10,2.978176e-10,1.984926e-10,2.609362e-10,1.749212e-10
1.236099e-01,1.544648e-10,2.916683e-10,1.905196e-10,2.517780e-10,1.691277e-10
1.240530e-01,1.499611e-10,2.838466e-10,1.791296e-10,2.345408e-10,1.642346e-10
1.244960e-01,1.453264e-10,2.743913e-10,1.657301e-10,2.166087e-10,1.589114e-10
1.249391e-01,1.405678e-10,2.652447e-10,1.541370e-10,1.978361e-10,1.539709e-10
1.253821e-01,1.357849e-10,2.531298e-10,1.470427e-10,1.789060e-10,1.488965e-10
1.258252e-01,1.307766e-10,2.420103e-10,1.450711e-10,1.634251e-10,1.443663e-10
