k_s_per_km,kPk_pi_p1_0,kPk_pi_p1_1,kPk_pi_p1_2,kPk_pi_p1_n1,kPk_pi_p1_n2
2.904990e-01,3.870046e+02,1.117054e+00,2.654468e+01,3.356754e+00,2.436462e+05
2.922282e-01,3.863372e+02,1.075617e+00,2.691122e+01,3.261612e+00,2.421194e+05
2.939573e-01,3.706038e+02,1.031826e+00,2.832672e+01,3.187513e+00,2.405560e+05
2.956865e-01,3.713756e+02,9.971413e-01,2.872723e+01,3.064585e+00,2.388910e+05
2.974156e-01,3.604031e+02,9.679597e-01,2.914854e+01,3.015464e+00,2.372010e+05
2.991448e-01,3.468795e+02,9.354887e-01,2.986602e+01,2.970961e+00,2.354464e+05
3.008740e-01,3.330999e+02,9.181220e-01,2.975263e+01,2.901794e+00,2.336542e+05
3.026031e-01,3.228775e+02,8.728334e-01,3.058200e+01,2.815962e+00,2.318303e+05
3.043323e-01,3.129861e+02,8.553233e-01,3.101377e+01,2.720702e+00,2.299642e+05
3.060614e-01,2.982577e+02,8.190013e-01,3.160550e+01,2.648988e+00,2.280858e+05
3.077906e-01,2.951207e+02,7.937714e-01,3.161887e+01,2.580001e+00,2.261784e+05
3.095198e-01,2.867607e+02,7.648074e-01,3.233500e+01,2.523660e+00,2.242659e+05
3.112489e-01,2.800543e+02,7.395953e-01,3.294987e+01,2.481062e+00,2.223455e+05
3.129781e-01,2.733458e+02,7.173999e-01,3.348074e+01,2.417193e+00,2.204294e+05
3.147072e-01,2.665014e+02,6.929794e-01,3.364398e+01,2.399622e+00,2.185157e+05
3.164364e-01,2.653575e+02,6.736349e-01,3.373218e+01,2.330653e+00,2.166268e+05
3.181656e-01,2.601584e+02,6.455741e-01,3.387673e+01,2.284000e+00,2.147501e+05
3.198947e-01,2.476316e+02,6.392162e-01,3.398502e+01,2.260500e+00,2.129085e+05
3.216239e-01,2.460576e+02,6.205296e-01,3.408701e+01,2.205021e+00,2.111010e+05
3.233530e-01,2.397334e+02,6.064826e-01,3.401318e+01,2.161266e+00,2.093252e+05
3.250822e-01,2.312529e+02,5.910847e-01,3.441323e+01,2.142516e+00,2.076176e+05
3.268114e-01,2.342973e+02,5.725732e-01,3.424966e+01,2.110906e+00,2.059357e+05
3.285405e-01,2.269142e+02,5.635930e-01,3.424949e+01,2.065891e+00,2.043494e+05
3.302697e-01,2.265348e+02,5.532312e-01,3.343592e+01,2.023564e+00,2.028081e+05
3.319989e-01,2.213667e+02,5.396419e-01,3.346165e+01,2.014638e+00,2.013445e+05
3.337280e-01,2.208085e+02,5.292126e-01,3.341739e+01,1.976643e+00,1.999728e+05
3.354572e-01,2.179280e+02,5.199299e-01,3.297324e+01,1.959915e+00,1.986503e+05
3.371863e-01,2.194019e+02,5.183569e-01,3.233955e+01,1.940867e+00,1.974758e+05
3.389155e-01,2.180916e+02,5.081637e-01,3.228659e+01,1.917754e+00,1.963495e+05
3.406447e-01,2.201311e+02,5.065505e-01,3.113933e+01,1.907265e+00,1.953604e+05
3.423738e-01,2.166837e+02,4.944819e-01,3.059386e+01,1.873278e+00,1.944664e+05
3.441030e-01,2.152163e+02,4.868666e-01,3.034245e+01,1.858608e+00,1.936680e+05
3.458321e-01,2.175021e+02,4.844454e-01,2.962935e+01,1.839407e+00,1.930300e+05
3.475613e-01,2.173685e+02,4.849395e-01,2.916368e+01,1.816784e+00,1.924508e+05
3.492905e-01,2.220524e+02,4.696633e-01,2.885206e+01,1.798672e+00,1.920765e+05
3.510196e-01,2.192241e+02,4.695325e-01,2.835170e+01,1.790733e+00,1.917822e+05
3.527488e-01,2.211746e+02,4.709417e-01,2.744771e+01,1.771929e+00,1.916390e+05
3.544779e-01,2.237305e+02,4.679237e-01,2.745691e+01,1.749978e+00,1.916481e+05
3.562071e-01,2.219018e+02,4.652072e-01,2.650614e+01,1.740044e+00,1.917470e+05
3.579363e-01,2.188440e+02,4.586400e-01,2.600831e+01,1.731260e+00,1.920753e+05
3.596654e-01,2.281881e+02,4.524928e-01,2.513307e+01,1.693773e+00,1.924762e+05
3.613946e-01,2.219911e+02,4.529206e-01,2.480310e+01,1.673968e+00,1.930867e+05
3.631237e-01,2.295690e+02,4.508846e-01,2.398048e+01,1.650540e+00,1.938241e+05
