k_s_per_km,kPk_pi_p1_n1,kPk_pi_p2_n1,kPk_pi_p7_n1,kPk_pi_p8_n1,kPk_pi_p9_n1
1.108340e-01,3.506843e-10,5.310094e-10,3.173038e-10,3.801578e-10,5.242715e-10
1.112958e-01,3.386012e-10,4.899917e-10,2.997243e-10,3.919830e-10,5.044919e-10
1.117576e-01,3.233551e-10,4.537898e-10,2.865381e-10,4.018373e-10,4.875612e-10
1.122195e-01,3.091185e-10,4.242013e-10,2.784443e-10,4.076020e-10,4.732198e-10
1.126813e-01,2.961269e-10,4.091946e-10,2.746093e-10,4.079770e-10,4.542543e-10
1.131431e-01,2.856388e-10,4.031318e-10,2.726228e-10,4.006441e-10,4.377876e-10
1.136049e-01,2.757159e-10,4.031782e-10,2.721217e-10,3.838877e-10,4.219286e-10
1.140667e-01,2.662461e-10,4.098940e-10,2.692410e-10,3.591637e-10,4.040639e-10
1.145285e-01,2.523146e-10,4.193118e-10,2.660882e-10,3.309575e-10,3.855821e-10
1.149903e-01,2.412675e-10,4.284292e-10,2.612067e-10,3.015621e-10,3.664563e-10
1.154521e-01,2.300228e-10,4.316726e-10,2.526031e-10,2.729812e-10,3.482096e-10
1.159139e-01,2.206758e-10,4.268548e-10,2.442875e-10,2.491060e-10,3.333621e-10
1.163757e-01,2.144387e-10,4.110280e-10,2.319554e-10,2.324969e-10,3.229553e-10
1.168375e-01,2.089396e-10,3.873728e-10,2.192289e-10,2.230635e-10,3.140657e-10
1.172993e-01,2.026721e-10,3.590428e-10,2.063811e-10,2.204857e-10,3.070217e-10
1.177612e-01,1.952936e-10,3.262638e-10,1.937236e-10,2.227687e-10,3.041722e-10
1.182230e-01,1.893135e-10,2.947452e-10,1.827333e-10,2.296131e-10,2.999086e-10
1.186848e-01,1.833925e-10,2.690546e-10,1.734128e-10,2.367154e-10,2.961489e-10
1.191466e-01,1.799863e-10,2.492112e-10,1.666190e-10,2.439686e-10,2.871899e-10
1.196084e-01,1.763911e-10,2.389795e-10,1.614787e-10,2.481694e-10,2.788500e-10
1.200702e-01,1.722693e-10,2.332236e-10,1.588184e-10,2.491759e-10,2.697512e-10
1.205320e-01,1.669130e-10,2.389417e-10,1.568988e-10,2.437208e-10,2.580533e-10
1.209938e-01,1.606525e-10,2.444667e-10,1.570000e-10,2.334994e-10,2.443359e-10
1.214556e-01,1.527740e-10,2.541045e-10,1.573246e-10,2.194323e-10,2.335243e-10
1.219174e-01,1.473669e-10,2.609194e-10,1.571854e-10,2.038113e-10,2.251272e-10
1.223792e-01,1.424721e-10,2.658640e-10,1.552224e-10,1.861675e-10,2.152354e-10
1.228410e-01,1.388055e-10,2.649898e-10,1.508181e-10,1.691201e-10,2.076354e-10
1.233029e-01,1.350374e-10,2.581246e-10,1.452952e-10,1.553850e-10,2.030362e-10
1.237647e-01,1.310617e-10,2.457561e-10,1.386668e-10,1.452407e-10,1.993531e-10
1.242265e-01,1.251012e-10,2.275177e-10,1.311744e-10,1.387536e-10,1.955492e-10
1.246883e-01,1.192351e-10,2.084616e-10,1.223919e-10,1.353425e-10,1.920543e-10
1.251501e-01,1.143127e-10,1.888197e-10,1.142352e-10,1.355195e-10,1.875909e-10
1.256119e-01,1.100449e-10,1.708773e-10,1.064794e-10,1.384050e-10,1.818454e-10
1.260737e-01,1.069231e-10,1.566974e-10,1.002959e-10,1.426560e-10,1.745158e-10
1.265355e-01,1.032088e-10,1.479887e-10,9.595262e-11,1.463616e-10,1.673301e-10
1.269973e-01,9.964772e-11,1.439722e-10,9.358927e-11,1.489491e-10,1.602735e-10
1.274591e-01,9.630698e-11,1.447884e-10,9.272213e-11,1.495746e-10,1.534709e-10
1.279209e-01,9.252193e-11,1.480574e-10,9.262505e-11,1.480644e-10,1.468915e-10
1.283827e-01,8.969941e-11,1.528297e-10,9.283572e-11,1.435367e-10,1.417942e-10
1.288446e-01,8.728069e-11,1.573037e-10,9.355058e-11,1.369477e-10,1.378398e-10
1.293064e-01,8.585614e-11,1.598927e-10,9.299097e-11,1.280637e-10,1.348836e-10
1.297682e-01,8.391110e-11,1.593206e-10,9.183646e-11,1.184803e-10,1.318179e-10
1.302300e-01,8.144000e-11,1.561004e-10,8.953437e-11,1.081837e-10,1.287349e-10
1.306918e-01,7.839205e-11,1.492749e-10,8.639201e-11,9.987051e-11,1.266760e-10
1.311536e-01,7.599007e-11,1.398571e-10,8.232747e-11,9.156419e-11,1.229985e-10
