k_s_per_km,kPk_pi_p1_0,kPk_pi_p2_0,kPk_pi_p7_0,kPk_pi_p8_0,kPk_pi_p9_0
6.424173e-02,2.045336e-08,2.045336e-08,2.045336e-08,2.045336e-08,2.045336e-08
6.468477e-02,1.943025e-08,1.943025e-08,1.943025e-08,1.943025e-08,1.943025e-08
6.512782e-02,1.865052e-08,1.865052e-08,1.865052e-08,1.865052e-08,1.865052e-08
6.557087e-02,1.778943e-08,1.778943e-08,1.778943e-08,1.778943e-08,1.778943e-08
6.601391e-02,1.731676e-08,1.731676e-08,1.731676e-08,1.731676e-08,1.731676e-08
6.645696e-02,1.654189e-08,1.654189e-08,1.654189e-08,1.654189e-08,1.654189e-08
6.690000e-02,1.621828e-08,1.621828e-08,1.621828e-08,1.621828e-08,1.621828e-08
6.734305e-02,1.572739e-08,1.572739e-08,1.572739e-08,1.572739e-08,1.572739e-08
6.778610e-02,1.523508e-08,1.523508e-08,1.523508e-08,1.523508e-08,1.523508e-08
6.822914e-02,1.473365e-08,1.473365e-08,1.473365e-08,1.473365e-08,1.473365e-08
6.867219e-02,1.408924e-08,1.408924e-08,1.408924e-08,1.408924e-08,1.408924e-08
6.911524e-02,1.331802e-08,1.331802e-08,1.331802e-08,1.331802e-08,1.331802e-08
6.955828e-02,1.262047e-08,1.262047e-08,1.262047e-08,1.262047e-08,1.262047e-08
7.000133e-02,1.197517e-08,1.197517e-08,1.197517e-08,1.197517e-08,1.197517e-08
7.044438e-02,1.132275e-08,1.132275e-08,1.132275e-08,1.132275e-08,1.132275e-08
7.088742e-02,1.061197e-08,1.061197e-08,1.061197e-08,1.061197e-08,1.061197e-08
7.133047e-02,1.003175e-08,1.003175e-08,1.003175e-08,1.003175e-08,1.003175e-08
7.177351e-02,9.377114e-09,9.377114e-09,9.377114e-09,9.377114e-09,9.377114e-09
7.221656e-02,8.969655e-09,8.969655e-09,8.969655e-09,8.969655e-09,8.969655e-09
7.265961e-02,8.649497e-09,8.649497e-09,8.649497e-09,8.649497e-09,8.649497e-09
7.310265e-02,8.270080e-09,8.270080e-09,8.270080e-09,8.270080e-09,8.270080e-09
7.354570e-02,8.056773e-09,8.056773e-09,8.056773e-09,8.056773e-09,8.056773e-09
7.398875e-02,7.860647e-09,7.860647e-09,7.860647e-09,7.860647e-09,7.860647e-09
7.443179e-02,7.609095e-09,7.609095e-09,7.609095e-09,7.609095e-09,7.609095e-09
7.487484e-02,7.451766e-09,7.451766e-09,7.451766e-09,7.451766e-09,7.451766e-09
7.531789e-02,7.250433e-09,7.250433e-09,7.250433e-09,7.250433e-09,7.250433e-09
7.576093e-02,7.006371e-09,7.006371e-09,7.006371e-09,7.006371e-09,7.006371e-09
7.620398e-02,6.782299e-09,6.782299e-09,6.782299e-09,6.782299e-09,6.782299e-09
7.664702e-02,6.568047e-09,6.568047e-09,6.568047e-09,6.568047e-09,6.568047e-09
7.709007e-02,6.325503e-09,6.325503e-09,6.325503e-09,6.325503e-09,6.325503e-09
7.753312e-02,6.000761e-09,6.000761e-09,6.000761e-09,6.000761e-09,6.000761e-09
7.797616e-02,5.734585e-09,5.734585e-09,5.734585e-09,5.734585e-09,5.734585e-09
7.841921e-02,5.433246e-09,5.433246e-09,5.433246e-09,5.433246e-09,5.433246e-09
7.886226e-02,5.136863e-09,5.136863e-09,5.136863e-09,5.136863e-09,5.136863e-09
7.930530e-02,4.866054e-09,4.866054e-09,4.866054e-09,4.866054e-09,4.866054e-09
7.974835e-02,4.616767e-09,4.616767e-09,4.616767e-09,4.616767e-09,4.616767e-09
8.019140e-02,4.370702e-09,4.370702e-09,4.370702e-09,4.370702e-09,4.370702e-09
8.063444e-02,4.190121e-09,4.190121e-09,4.190121e-09,4.190121e-09,4.190121e-09
8.107749e-02,4.000581e-09,4.000581e-09,4.000581e-09,4.000581e-09,4.000581e-09
8.152054e-02,3.849768e-09,3.849768e-09,3.849768e-09,3.849768e-09,3.849768e-09
8.196358e-02,3.710682e-09,3.710682e-09,3.710682e-09,3.710682e-09,3.710682e-09
8.240663e-02,3.598253e-09,3.598253e-09,3.598253e-09,3.598253e-09,3.598253e-09
8.284967e-02,3.499194e-09,3.499194e-09,3.499194e-09,3.499194e-09,3.499194e-09
8.329272e-02,3.417144e-09,3.417144e-09,3.417144e-09,3.417144e-09,3.417144e-09
8.373577e-02,3.347485e-09,3.347485e-09,3.347485e-09,3.347485e-09,3.347485e-09
8.417881e-02,3.276934e-09,3.276934e-09,3.276934e-09,3.276934e-09,3.276934e-09
8.462186e-02,3.191471e-09,3.191471e-09,3.191471e-09,3.191471e-09,3.191471e-09
8.506491e-02,3.103696e-09,3.103696e-09,3.103696e-09,3.103696e-09,3.103696e-09
8.550795e-02,2.996008e-09,2.996008e-09,2.996008e-09,2.996008e-09,2.996008e-09
8.595100e-02,2.903356e-09,2.903356e-09,2.903356e-09,2.903356e-09,2.903356e-09
8.639405e-02,2.793323e-09,2.793323e-09,2.793323e-09,2.793323e-09,2.793323e-09
8.683709e-02,2.689497e-09,2.689497e-09,2.689497e-09,2.689497e-09,2.689497e-09
8.728014e-02,2.579112e-09,2.579112e-09,2.579112e-09,2.579112e-09,2.579112e-09
8.772318e-02,2.453189e-09,2.453189e-09,2.453189e-09,2.453189e-09,2.453189e-09
8.816623e-02,2.338010e-09,2.338010e-09,2.338010e-09,2.338010e-09,2.338010e-09
8.860928e-02,2.215690e-09,2.215690e-09,2.215690e-09,2.215690e-09,2.215690e-09
8.905232e-02,2.112047e-09,2.112047e-09,2.112047e-09,2.112047e-09,2.112047e-09
8.949537e-02,2.007425e-09,2.007425e-09,2.007425e-09,2.007425e-09,2.007425e-09
8.993842e-02,1.921243e-09,1.921243e-09,1.921243e-09,1.921243e-09,1.921243e-09
9.038146e-02,1.839224e-09,1.839224e-09,1.839224e-09,1.839224e-09,1.839224e-09
9.082451e-02,1.763139e-09,1.763139e-09,1.763139e-09,1.763139e-09,1.763139e-09
9.126756e-02,1.697405e-09,1.697405e-09,1.697405e-09,1.697405e-09,1.697405e-09
9.171060e-02,1.645433e-09,1.645433e-09,1.645433e-09,1.645433e-09,1.645433e-09
9.215365e-02,1.601660e-09,1.601660e-09,1.601660e-09,1.601660e-09,1.601660e-09
9.259669e-02,1.566282e-09,1.566282e-09,1.566282e-09,1.566282e-09,1.566282e-09
9.303974e-02,1.536212e-09,1.536212e-09,1.536212e-09,1.536212e-09,1.536212e-09
9.348279e-02,1.508883e-09,1.508883e-09,1.508883e-09,1.508883e-09,1.508883e-09
9.392583e-02,1.476288e-09,1.476288e-09,1.476288e-09,1.476288e-09,1.476288e-09
9.436888e-02,1.437658e-09,1.437658e-09,1.437658e-09,1.437658e-09,1.437658e-09
9.481193e-02,1.404859e-09,1.404859e-09,1.404859e-09,1.404859e-09,1.404859e-09
9.525497e-02,1.359894e-09,1.359894e-09,1.359894e-09,1.359894e-09,1.359894e-09
9.569802e-02,1.313730e-09,1.313730e-09,1.313730e-09,1.313730e-09,1.313730e-09
9.614107e-02,1.265906e-09,1.265906e-09,1.265906e-09,1.265906e-09,1.265906e-09
9.658411e-02,1.211828e-09,1.211828e-09,1.211828e-09,1.211828e-09,1.211828e-09
9.702716e-02,1.155545e-09,1.155545e-09,1.155545e-09,1.155545e-09,1.155545e-09
9.747021e-02,1.098370e-09,1.098370e-09,1.098370e-09,1.098370e-09,1.098370e-09
9.791325e-02,1.042908e-09,1.042908e-09,1.042908e-09,1.042908e-09,1.042908e-09
9.835630e-02,9.926458e-10,9.926458e-10,9.926458e-10,9.926458e-10,9.926458e-10
